
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag,S22_Real,S22_Imag,S23_Real,S23_Imag,S24_Real,S24_Imag,S31_Real,S31_Imag,S32_Real,S32_Imag,S33_Real,S33_Imag,S34_Real,S34_Imag,S41_Real,S41_Imag,S42_Real,S42_Imag,S43_Real,S43_Imag,S44_Real,S44_Imag
3494000000.0,-0.7504681,0.3673438,-0.2524536,-0.8971435,-0.7922304,-0.5528051,0.2064441,-0.8810968,1.301804e-06,-6.76433e-07,0.3643674,-0.8631344,-0.6238471,0.6848198,-0.814213,-0.3034542,-0.7646208,0.3061534,-0.6377302,-0.5434613,0.5291948,-0.8156431,-0.1216822,-0.8108249,-0.1372099,0.8127309,-0.7962326,0.260905,-0.6136444,0.6205031,0.5981943,-0.6947241
3552000000.0,0.7118119,-0.4373927,0.9599734,0.03296397,0.9196277,-0.398877,0.6508551,0.6672002,-7.371993e-06,-1.273257e-05,0.7879032,0.5278088,-0.2825724,-0.9179943,0.703339,-0.5513664,-0.282193,-0.8055054,0.5977753,-0.6248104,0.7074485,0.7107497,0.8319952,0.1385658,-0.8369719,-0.163925,-0.2364478,-0.8315305,-0.4439352,-0.7938233,0.5781206,0.7245525
3610000000.0,-0.6676872,0.4951081,-0.3201947,0.9365349,-0.07697595,1.041301,-0.9260444,0.2597191,4.675425e-06,1.193747e-05,-0.6782579,0.6869103,0.9850737,0.1681571,0.1657941,0.9053275,0.8521609,-0.2211808,0.5817922,0.6720882,-0.8614665,0.5923639,-0.3926402,0.7745488,0.2243153,-0.8497148,0.868594,-0.1773925,0.9123501,-0.2273638,-0.83636,0.433293
3668000000.0,0.5806934,-0.592783,-0.8079147,-0.595372,-0.9231339,-0.5284836,0.1881115,-0.9531141,-1.166783e-05,6.090075e-06,-0.3385276,-0.9277501,-0.5741614,0.8420804,-0.8965656,-0.2491099,0.1139264,0.884393,-0.7559727,0.4868968,-0.2772418,-1.052009,-0.6251589,-0.6132957,0.8288726,0.3209635,0.06619985,0.8939099,-0.02702142,0.9547502,-0.03370824,-0.9386821
3726000000.0,-0.5866341,0.5896133,0.849222,-0.5817683,0.9029116,-0.6014034,0.7659261,0.633461,-4.152367e-06,2.657653e-06,0.9763089,0.3709676,-0.5288389,-0.8963783,0.645376,-0.7027293,-0.9083313,-0.02943192,-0.3504762,-0.8465988,1.067308,0.353734,0.8012735,-0.3874305,-0.4434862,0.7898572,-0.9098713,-0.07964081,-0.9178157,-0.3067302,0.8065001,0.58301
3784000000.0,0.4361873,-0.7112651,0.2868248,1.051506,0.1044479,1.13842,-0.9867819,0.3726101,-1.466701e-06,-6.606968e-06,-0.7486058,0.8202808,1.094736,-0.0693204,0.3334281,0.9560333,0.1677582,-0.9515426,0.945145,-0.221868,-0.6870808,0.9193741,0.09569261,0.9400257,-0.7756726,-0.5708392,0.2202612,-0.9418904,0.6009581,-0.8259172,-0.840227,0.6364744
3842000000.0,-0.4000228,0.687434,-1.169157,-0.04903982,-1.121019,-0.5137254,0.2010198,-1.119513,5.738034e-06,6.653186e-06,-0.804864,-0.800774,-0.4886766,1.074109,-1.073306,-0.1861655,1.024334,0.2298969,0.1614114,1.036247,-0.8890668,-0.7299553,-1.000392,-0.2129661,0.6413476,-0.8258129,1.001933,0.2936347,0.6873924,0.865417,-0.6372924,-0.8595742
3900000000.0,0.3744827,-0.7489666,0.4016204,-1.161437,1.061122,-0.7580294,0.8902546,0.7979671,-8.822162e-06,1.732619e-06,0.8424502,-0.7828818,-0.7595493,-0.9867046,0.7298004,-0.8797601,-0.2211935,1.088414,-1.097388,0.1493559,0.78491,-0.844772,0.5168265,-0.9541238,0.9025066,0.6345454,-0.3012372,1.057476,-1.059389,0.5019603,0.8835281,-0.5829126
3958000000.0,-0.2510117,0.7902063,1.031215,0.7395492,0.1429687,1.340782,-1.180099,0.3509433,-1.14206e-05,5.693471e-06,0.619903,0.9541354,1.272882,-0.2197791,0.4120686,1.104873,-1.128213,-0.2249967,-0.1228613,-1.141158,0.6061929,0.9679669,0.7897316,0.7945907,-0.6289531,0.9536804,-1.097123,-0.3140846,-0.2585604,-1.191721,0.3095273,0.9579727
4016000000.0,0.1417266,-0.7958466,-1.025965,0.7905853,-1.287443,-0.5032682,0.2814949,-1.22525,-2.749818e-06,3.605058e-06,-1.128431,0.2692954,-0.3656106,1.275914,-1.196509,-0.1553655,0.2836214,-1.147326,1.176574,-0.04049989,-1.155628,0.08479781,-1.020093,0.5399821,-0.9654307,-0.6653714,0.3749215,-1.105252,1.257551,0.03176126,-0.9493225,-0.2281792
4074000000.0,-0.1493299,0.7961044,-0.4551336,-1.234132,1.035233,-0.9523033,0.9603338,0.8468283,5.179055e-06,4.821244e-06,0.5374246,-1.087884,-1.035174,-0.8759252,0.6928956,-1.022008,1.159283,0.3765032,-0.08103245,1.208347,0.8643268,-0.8677657,-0.2199859,-1.162501,0.7316192,-0.9548814,1.099039,0.4736102,-0.3246688,1.247993,0.9226418,-0.4374279
