
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag
7438000000.0,-0.5333377,0.4421098,0.6604609,0.4115,0.2365468,0.7237018,-0.3590235,-0.695995,-1.150611e-05,-1.576588e-06
7496000000.0,0.5141203,-0.5261173,-0.6298326,0.4824,-0.7041901,-0.2372465,0.7882137,0.1041464,-3.706309e-06,-9.654412e-06
7554000000.0,-0.441035,0.6093098,-0.2611729,-0.7829409,0.5433266,-0.5414854,-0.4347782,0.6942465,-1.125233e-05,1.489291e-05
7612000000.0,0.3565504,-0.6435003,0.8396963,-0.001722797,0.2736659,0.7368143,-0.4689638,-0.684403,-1.208158e-05,6.12203e-06
7670000000.0,-0.252069,0.6240825,-0.2822798,0.8081939,-0.8043545,-0.08492637,0.8327491,-0.1253516,-4.979893e-06,-1.203964e-06
7728000000.0,0.276601,-0.6133986,-0.6794583,-0.5434187,0.5070483,-0.6638333,-0.3301306,0.7897391,1.574015e-05,-8.236204e-06
7786000000.0,-0.2382206,0.7472256,0.7560912,-0.4598491,0.2252527,0.8372871,-0.4356625,-0.7656111,-8.318411e-07,7.063168e-06
7844000000.0,-0.02758642,-0.7409274,0.1829903,0.9194383,-0.8539057,-0.3948511,0.9344752,0.161563,1.267839e-06,4.28327e-06
7902000000.0,-0.02171684,0.6852201,-1.019565,-0.08920348,0.8667547,-0.6013396,-0.6602069,0.806065,9.905681e-06,-4.232124e-06
7960000000.0,0.02946945,-0.7541471,0.2607371,-1.025857,0.2383557,1.075288,-0.5581902,-0.9035296,-4.508317e-06,5.913995e-06
8018000000.0,0.02199101,0.7422376,0.3384239,-0.9186653,-0.5107917,-0.7694376,0.2169592,-0.9470727,0.0001045687,-1.177401e-06
8076000000.0,-0.0627047,-0.7423996,0.8973625,-0.4767707,0.4748366,-0.8498308,0.9266698,-0.3906022,-5.775967e-05,-7.161142e-05
